#6-pulse DQC,,,,,,,,,,
#Step,Phi_1,Phi_2,Phi_3,Phi_4,Phi_5,Phi_6,Phi_a,Phi_b,Phi_c,Phi_d
142,270,270,270,90,180,180,0,0,0,0
143,0,0,0,90,180,180,180,180,180,180
144,90,90,90,90,180,180,0,0,0,0
145,180,180,180,180,0,180,0,0,0,0
146,270,270,270,180,0,180,180,180,180,180
147,0,0,0,180,0,180,0,0,0,0
148,90,90,90,180,0,180,180,180,180,180
149,180,180,180,270,0,180,0,0,0,0
150,270,270,270,270,0,180,180,180,180,180
151,0,0,0,270,0,180,0,0,0,0
152,90,90,90,270,0,180,180,180,180,180
153,180,180,180,0,0,180,0,0,0,0
154,270,270,270,0,0,180,180,180,180,180
155,0,0,0,0,0,180,0,0,0,0
156,90,90,90,0,0,180,180,180,180,180
157,180,180,180,90,0,180,0,0,0,0
158,270,270,270,90,0,180,180,180,180,180
159,0,0,0,90,0,180,0,0,0,0
160,90,90,90,90,0,180,180,180,180,180
161,180,180,180,180,270,180,90,90,90,90
162,270,270,270,180,270,180,270,270,270,270
163,0,0,0,180,270,180,90,90,90,90
164,90,90,90,180,270,180,270,270,270,270
165,180,180,180,270,270,180,90,90,90,90
166,270,270,270,270,270,180,270,270,270,270
167,0,0,0,270,270,180,90,90,90,90
168,90,90,90,270,270,180,270,270,270,270
169,180,180,180,0,270,180,90,90,90,90
170,270,270,270,0,270,180,270,270,270,270
171,0,0,0,0,270,180,90,90,90,90
172,90,90,90,0,270,180,270,270,270,270
173,180,180,180,90,270,180,90,90,90,90
174,270,270,270,90,270,180,270,270,270,270
175,0,0,0,90,270,180,90,90,90,90
176,90,90,90,90,270,180,270,270,270,270
177,180,180,180,180,90,180,270,270,270,270
178,270,270,270,180,90,180,90,90,90,90
179,0,0,0,180,90,180,270,270,270,270
180,90,90,90,180,90,180,90,90,90,90
181,180,180,180,270,90,180,270,270,270,270
182,270,270,270,270,90,180,90,90,90,90
183,0,0,0,270,90,180,270,270,270,270
184,90,90,90,270,90,180,90,90,90,90
185,180,180,180,0,90,180,270,270,270,270
186,270,270,270,0,90,180,90,90,90,90
187,0,0,0,0,90,180,270,270,270,270
188,90,90,90,0,90,180,90,90,90,90
189,180,180,180,90,90,180,270,270,270,270
190,270,270,270,90,90,180,90,90,90,90
191,0,0,0,90,90,180,270,270,270,270
192,90,90,90,90,90,180,90,90,90,90
193,270,270,270,270,270,270,90,90,90,90
194,0,0,0,270,270,270,270,270,270,270
195,90,90,90,270,270,270,90,90,90,90
196,180,180,180,270,270,270,270,270,270,270
197,270,270,270,0,270,270,90,90,90,90
198,0,0,0,0,270,270,270,270,270,270
199,90,90,90,0,270,270,90,90,90,90
200,180,180,180,0,270,270,270,270,270,270
201,270,270,270,90,270,270,90,90,90,90
202,0,0,0,90,270,270,270,270,270,270
203,90,90,90,90,270,270,90,90,90,90
204,180,180,180,90,270,270,270,270,270,270
205,270,270,270,180,270,270,90,90,90,90
206,0,0,0,180,270,270,270,270,270,270
207,90,90,90,180,270,270,90,90,90,90
208,180,180,180,180,270,270,270,270,270,270
209,270,270,270,270,90,270,270,270,270,270
210,0,0,0,270,90,270,90,90,90,90
211,90,90,90,270,90,270,270,270,270,270
212,180,180,180,270,90,270,90,90,90,90
213,270,270,270,0,90,270,270,270,270,270
214,0,0,0,0,90,270,90,90,90,90
215,90,90,90,0,90,270,270,270,270,270
216,180,180,180,0,90,270,90,90,90,90
217,270,270,270,90,90,270,270,270,270,270
218,0,0,0,90,90,270,90,90,90,90
219,90,90,90,90,90,270,270,270,270,270
220,180,180,180,90,90,270,90,90,90,90
221,270,270,270,180,90,270,270,270,270,270
222,0,0,0,180,90,270,90,90,90,90
223,90,90,90,180,90,270,270,270,270,270
224,180,180,180,180,90,270,90,90,90,90
225,270,270,270,270,0,270,0,0,0,0
226,0,0,0,270,0,270,180,180,180,180
227,90,90,90,270,0,270,0,0,0,0
228,180,180,180,270,0,270,180,180,180,180
229,270,270,270,0,0,270,0,0,0,0
230,0,0,0,0,0,270,180,180,180,180
231,90,90,90,0,0,270,0,0,0,0
232,180,180,180,0,0,270,180,180,180,180
233,270,270,270,90,0,270,0,0,0,0
234,0,0,0,90,0,270,180,180,180,180
235,90,90,90,90,0,270,0,0,0,0
236,180,180,180,90,0,270,180,180,180,180
237,270,270,270,180,0,270,0,0,0,0
238,0,0,0,180,0,270,180,180,180,180
239,90,90,90,180,0,270,0,0,0,0
